time	Ev1.floor	Ev1.dir		Ev1.passenger	Ev2.floor	Ev2.dir		Ev2.passenger	Ev3.floor	Ev3.dir		Ev3.passenger
0	1		0		0		1		0		0		1		0		0
1	1		0		0		1		0		0		1		0		0
2	1		1		0		1		0		0		1		0		0
3	1		1		0		1		1		0		1		0		0
4	2		1		15		1		1		0		1		0		0
5	2		1		15		2		1		0		1		0		0
6	2		1		15		2		1		0		1		0		0
7	2		1		15		2		1		0		1		0		0
8	2		1		15		3		1		0		1		0		0
9	2		1		15		3		1		0		1		0		0
10	2		1		15		3		1		0		1		0		0
11	2		1		15		4		1		10		1		0		0
12	3		1		15		4		1		10		1		0		0
13	3		1		15		4		1		10		1		0		0
14	3		1		15		4		1		10		1		0		0
15	4		1		15		4		1		10		1		0		0
16	4		1		15		4		1		10		1		0		0
17	4		1		15		4		1		10		1		0		0
18	5		1		15		4		1		10		1		0		0
19	5		1		15		5		1		10		1		0		0
20	5		1		15		5		1		10		1		0		0
21	5		0		0		5		1		10		1		0		0
22	5		0		0		6		1		10		1		0		0
23	5		0		0		6		1		10		1		0		0
24	5		0		0		6		1		10		1		0		0
25	5		0		0		7		1		10		1		0		0
26	5		0		0		7		1		10		1		0		0
27	5		0		0		7		1		10		1		0		0
28	5		0		0		7		0		0		1		0		0
29	5		0		0		7		0		0		1		0		0
30	5		0		0		7		0		0		1		0		0
